UTIL. DA GPU,SCLK DA GPU,MCLK DA GPU,TEMP. DA GPU,TEMP. DE PONTO DE ACESSO DA GPU,ENERGIA DA GPU,VENT. DA GPU,UTIL. MEM. GPU,FPS,UTIL. DA CPU,UTIL. MEM. SISTEMA
60.12,507.67,1915.12,55.63,56.82,8.01,0.00,1759.50,149.43,6.45,8.18
22.000,1485.000,1982.000,54.000,56.000,10,0.000,1625.000,164.000,7.55,8.81
17.000,1019.000,1978.000,54.000,55.000,10,0.000,1636.000,156.000,6.65,8.82
22.000,1023.000,1990.000,54.000,56.000,10,0.000,1636.000,165.000,7.65,8.82
12.000,279.000,1976.000,54.000,55.000,10,0.000,1636.000,163.000,4.18,8.81
10.000,213.000,1976.000,54.000,55.000,10,0.000,1636.000,156.000,7.06,8.81
26.000,1093.000,1984.000,53.000,55.000,10,0.000,1636.000,154.000,6.49,8.82
27.000,1102.000,1976.000,54.000,55.000,10,0.000,1636.000,162.000,4.99,8.82
26.000,1145.000,1988.000,54.000,55.000,10,0.000,1639.000,151.000,9.25,8.82
26.000,1048.000,1978.000,54.000,56.000,10,0.000,1642.000,123.000,4.12,8.82
20.000,1023.000,1986.000,54.000,55.000,9,0.000,1642.000,108.000,4.26,8.83
18.000,913.000,1986.000,54.000,56.000,9,0.000,1667.000,122.000,7.02,8.82
18.000,902.000,1976.000,54.000,56.000,10,0.000,1673.000,140.000,14.28,8.82
15.000,317.000,1986.000,54.000,56.000,10,0.000,1681.000,159.000,4.49,8.82
26.000,1047.000,1984.000,54.000,56.000,10,0.000,1681.000,163.000,6.70,8.82
10.000,232.000,1986.000,54.000,56.000,9,0.000,1693.000,150.000,7.30,8.84
23.000,988.000,1986.000,54.000,56.000,9,0.000,1693.000,158.000,4.25,8.84
23.000,987.000,1988.000,54.000,56.000,9,0.000,1675.000,149.000,6.77,8.80
18.000,852.000,1984.000,54.000,56.000,9,0.000,1675.000,162.000,6.85,8.80
61.000,496.000,1984.000,54.000,55.000,8,0.000,1677.000,158.000,5.26,8.80
61.000,493.000,1988.000,54.000,55.000,8,0.000,1677.000,165.000,3.65,8.80
61.000,496.000,1978.000,54.000,55.000,8,0.000,1677.000,151.000,13.53,8.80
51.000,493.000,1342.000,54.000,55.000,7,0.000,1677.000,152.000,6.31,8.80
51.000,493.000,1342.000,54.000,55.000,7,0.000,1677.000,152.000,6.31,8.80
53.000,493.000,1344.000,53.000,54.000,7,0.000,1677.000,159.000,5.33,8.80
56.000,493.000,1986.000,54.000,55.000,8,0.000,1677.000,158.000,6.34,8.80
62.000,494.000,1978.000,54.000,55.000,8,0.000,1679.000,161.000,6.19,8.80
67.000,494.000,1990.000,54.000,55.000,8,0.000,1682.000,155.000,3.84,8.80
56.000,493.000,1980.000,54.000,55.000,8,0.000,1682.000,149.000,6.91,8.80
67.000,493.000,1988.000,54.000,55.000,8,0.000,1688.000,142.000,7.59,8.79
55.000,493.000,1980.000,54.000,55.000,8,0.000,1688.000,143.000,6.68,8.68
67.000,517.000,1982.000,54.000,55.000,8,0.000,1690.000,152.000,4.02,8.68
64.000,494.000,1988.000,54.000,55.000,8,0.000,1690.000,150.000,5.97,8.68
61.000,499.000,1990.000,54.000,55.000,8,0.000,1697.000,148.000,5.49,8.68
69.000,496.000,1982.000,54.000,55.000,8,0.000,1701.000,144.000,5.08,8.68
58.000,493.000,1980.000,54.000,55.000,8,0.000,1710.000,116.000,7.95,8.68
42.000,493.000,1984.000,54.000,55.000,8,0.000,1712.000,151.000,7.34,8.68
64.000,493.000,1990.000,54.000,55.000,8,0.000,1712.000,156.000,3.28,8.68
60.000,494.000,1980.000,54.000,55.000,8,0.000,1712.000,158.000,4.70,8.69
57.000,493.000,1988.000,54.000,55.000,8,0.000,1712.000,131.000,6.83,8.69
54.000,493.000,1980.000,54.000,55.000,8,0.000,1712.000,136.000,5.90,8.69
58.000,493.000,1990.000,54.000,55.000,8,0.000,1712.000,131.000,5.50,8.69
56.000,493.000,1978.000,54.000,55.000,8,0.000,1717.000,134.000,6.77,8.68
43.000,493.000,1978.000,54.000,55.000,8,0.000,1717.000,123.000,7.40,8.68
54.000,493.000,1988.000,54.000,55.000,8,0.000,1717.000,149.000,4.25,8.68
62.000,493.000,1980.000,54.000,55.000,8,0.000,1717.000,142.000,7.68,8.68
67.000,493.000,1990.000,54.000,55.000,8,0.000,1720.000,144.000,7.10,8.68
